x_type,x_id,x_name,y_type,y_id,y_name,relation,x_source,y_source
gene/protein,NCBI:3574,IL13,drug,DB12146,Dupilumab,drug_protein,NCBI,DrugBank
gene/protein,NCBI:5071,SNCA,drug,CHEMBL1234,Anle138b,drug_protein,NCBI,ChEMBL
gene/protein,NCBI:5500,LRRK2,drug,CHEMBL4523,MLi-2,drug_protein,NCBI,ChEMBL
gene/protein,NCBI:5500,LRRK2,drug,CHEMBL5023,DNL201,drug_protein,NCBI,ChEMBL
gene/protein,NCBI:1956,EGFR,drug,DB00530,Erlotinib,drug_protein,NCBI,DrugBank
gene/protein,NCBI:1956,EGFR,drug,DB01259,Lapatinib,drug_protein,NCBI,DrugBank
gene/protein,NCBI:1956,EGFR,drug,DB09073,Osimertinib,drug_protein,NCBI,DrugBank
gene/protein,NCBI:25,ABL1,drug,DB00619,Imatinib,drug_protein,NCBI,DrugBank
gene/protein,NCBI:25,ABL1,drug,DB01254,Dasatinib,drug_protein,NCBI,DrugBank
gene/protein,NCBI:367,AR,drug,DB01229,Enzalutamide,drug_protein,NCBI,DrugBank
gene/protein,NCBI:367,AR,drug,DB06070,Abiraterone,drug_protein,NCBI,DrugBank
drug,DB01679,Verubecestat,disease,MONDO:0004975,Alzheimer disease,drug_disease,DrugBank,MONDO
drug,DB00030,Insulin glargine,disease,MONDO:0005148,Type 2 diabetes mellitus,drug_disease,DrugBank,MONDO
drug,DB01254,Dasatinib,disease,MONDO:0018874,Acute myeloid leukemia,drug_disease,DrugBank,MONDO
drug,DB01254,Dasatinib,disease,MONDO:0005015,Chronic myeloid leukemia,drug_disease,DrugBank,MONDO
drug,DB00051,Adalimumab,disease,MONDO:0004979,Asthma,drug_disease,DrugBank,MONDO
drug,DB00530,Erlotinib,disease,MONDO:0005087,Non-small cell lung carcinoma,drug_disease,DrugBank,MONDO
drug,DB09073,Osimertinib,disease,MONDO:0005087,Non-small cell lung carcinoma,drug_disease,DrugBank,MONDO
drug,DB00619,Imatinib,disease,MONDO:0005015,Chronic myeloid leukemia,drug_disease,DrugBank,MONDO
drug,DB01229,Enzalutamide,disease,MONDO:0007254,Prostate cancer,drug_disease,DrugBank,MONDO
drug,DB06589,Quizartinib,disease,MONDO:0018874,Acute myeloid leukemia,drug_disease,DrugBank,MONDO
